disco,coleccion,tipo,estado,titulo_archivo,anio_archivo,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,nombre_limpio
horror,Found Footage,Película,coleccion,Strange Harvest,2024,,2024 - Strange Harvest (4K).mkv,mkv,8111.1,/Volumes/horror/found footage collection/2024 - Strange Harvest (4K).mkv,2024 - Strange Harvest (4K)
horror,Found Footage,Película,coleccion,VHS Beyond,2024,,2024 - VHS Beyond.mkv,mkv,3570.9,/Volumes/horror/found footage collection/2024 - VHS Beyond.mkv,2024 - VHS Beyond
horror,Found Footage,Película,coleccion,VHS Halloween,2025,,2025 - VHS Halloween.mkv,mkv,8318.1,/Volumes/horror/found footage collection/2025 - VHS Halloween.mkv,2025 - VHS Halloween
horror,Terror,Película,coleccion,M,1931,,1931 - M.mp4,mp4,2135.5,/Volumes/horror/horror collection/1931 - M.mp4,1931 - M
horror,Terror,Película,coleccion,Touch of Evil,1958,,1958 - Touch of Evil.mkv,mkv,4474,/Volumes/horror/horror collection/1958 - Touch of Evil.mkv,1958 - Touch of Evil
horror,Terror,Película,coleccion,Psycho,1960,,1960 - Psycho (Uncut).mp4,mp4,2130.7,/Volumes/horror/horror collection/1960 - Psycho (Uncut).mp4,1960 - Psycho (Uncut)
horror,Terror,Película,coleccion,It's Alive,1974,,1974 - It's Alive.mp4,mp4,1777,/Volumes/horror/horror collection/1974 - It's Alive.mp4,1974 - It's Alive
horror,Terror,Película,coleccion,The Texas Chain Saw Massacre,1974,,1974 - The Texas Chain Saw Massacre (Remastered).mp4,mp4,1330.7,/Volumes/horror/horror collection/1974 - The Texas Chain Saw Massacre (Remastered).mp4,1974 - The Texas Chain Saw Massacre (Remastered)
horror,Terror,Película,coleccion,Dawn Of The Dead,1978,,1978 - Dawn Of The Dead.mp4,mp4,2226,/Volumes/horror/horror collection/1978 - Dawn Of The Dead.mp4,1978 - Dawn Of The Dead
horror,Terror,Película,coleccion,The Changeling,1980,,1980 - The Changeling.mkv,mkv,10859.5,/Volumes/horror/horror collection/1980 - The Changeling.mkv,1980 - The Changeling
horror,Terror,Película,coleccion,The Elephant Man,1980,,1980 - The Elephant Man.mp4,mp4,2410.4,/Volumes/horror/horror collection/1980 - The Elephant Man.mp4,1980 - The Elephant Man
horror,Terror,Película,coleccion,The Shining,1980,,1980 - The Shining (Director's Cut) (Remastered).mp4,mp4,2294.1,/Volumes/horror/horror collection/1980 - The Shining (Director's Cut) (Remastered).mp4,1980 - The Shining (Director's Cut) (Remastered)
horror,Terror,Película,coleccion,Scanners,1981,,1981 - Scanners.mp4,mp4,3028.3,/Volumes/horror/horror collection/1981 - Scanners.mp4,1981 - Scanners
horror,Terror,Película,coleccion,The Evil Dead,1981,,1981 - The Evil Dead (Remastered).mp4,mp4,1367.9,/Volumes/horror/horror collection/1981 - The Evil Dead (Remastered).mp4,1981 - The Evil Dead (Remastered)
